age,recruitment_person_number,acceptance_method_code,age_limit,company_home_page_url,company_name,company_representative,company_staff_contact,company_staff_name,company_type,company_working_name,coords,deadline_status,detailed_contents,employment_shape,employment_shape_name,etc_item,from_acceptance_date,job_category,job_code,job_id,link_system_id,link_system_name,place_detail_address,recruitment_title,to_acceptance_date,work_place_code,work_place_name,x,y,zip_code
60,1,방문,,,엘림에스(유),이윤필,02-6082-5457,이윤필,N,엘림에스(유),"126.8840719,37.5235205",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240419,,,KJKN002404190012,B,워크넷,07275 서울특별시 영등포구 영등포로 21 (양평동2가),수원 풍림신안 아파트 내부미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),20240506,010200,경기 수원시 권선구,126.8840719,37.5235205,07275
60,4,방문,,http://www.misungmpro.com/,주식회사 미성지에스이,이영일,031-8062-4890,이영일,N,주식회사 미성지에스이,"126.8970270,37.5251231",접수중,,기타,CM0105,장애인 ,20240503,,,KJKN002405030037,B,워크넷,"07259 서울특별시 영등포구 당산로 118 (당산동3가, 대흥빌딩)",[삼성전자] 미화(청소)사원 모집(R5)-주간/야간/야간,20240702,010200,경기 수원시 영통구,126.8970270,37.5251231,07259
60,3,방문,,www.kukdo1228.co.kr,국도안전관리(주),최준호,031-8045-3268,최준호,N,국도안전관리(주),"126.9975138,37.4808914",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장기복무 제대군인, 장애인 ",20240412,,,KJKR002404120030,B,워크넷,"06695 서울특별시 서초구 방배로 73, 403호 (방배동, 양지빌딩 4층)","[채용 대행 - 광명동 건설현장] 경비원 채용(격일 2명,주간 1명)",20240611,010150,,126.9975138,37.4808914,06695
60,1,방문,,www.kukdo1228.co.kr,국도안전관리(주),최준호,,최준호,N,국도안전관리(주),"126.9975138,37.4808914",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장기복무 제대군인, 장애인 ",20240425,,,KJKR002404250010,B,워크넷,"06695 서울특별시 서초구 방배로 73, 403호 (방배동, 양지빌딩 4층)",봉천동 재개발현장 격일제 경비지도사 채용,20240624,010150,,126.9975138,37.4808914,06695
60,1,방문,,http://,한국보안컨설팅(주),김정길,,김정길,N,한국보안컨설팅(주),"127.0976690,37.5027265",접수중,,기타,CM0105,장애인 ,20240426,,,KJKR002404260015,B,워크넷,"05613 서울특별시 송파구 백제고분로 279, 6층 (석촌동, 송파동산빌딩)",경비/보안대원 모집,20240625,010180,,127.0976690,37.5027265,05613
60,1,방문,,www.kukdo1228.co.kr,국도안전관리(주),최준호,031-8045-3268,최준호,N,국도안전관리(주),"126.9975138,37.4808914",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240429,,,KJKR002404290052,B,워크넷,"06695 서울특별시 서초구 방배로 73, 403호 (방배동, 양지빌딩 4층)",[마곡역 인근] 공사현장경비(주간 주6일 근로) 채용,20240528,010150,서울 강서구,126.9975138,37.4808914,06695
60,1,방문,,,주식회사세원종합관리,정화찬,,정화찬,N,주식회사세원종합관리,"127.0731201,37.6357937",접수중,,시간제일자리,CM0103,"(준)고령자(50세이상), 장애인 ",20240416,,,KJKS002404160003,B,워크넷,"01809 서울특별시 노원구 공릉로58가길 4, 2층 (하계동, 우신주택)",[양주옥정]  아파트 미화원(외곽)모집,20240615,010090,,127.0731201,37.6357937,01809
60,1,방문,,,승인산업주식회사,정병천,,정병천,N,승인산업주식회사,"127.0104756,37.5958787",접수중,,기타,CM0105,"고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장애인 ",20240411,,,KJKX002404110011,B,워크넷,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)",[역북동] 푸르지오아파트 실내미화원 채용,20240510,010170,,127.0104756,37.5958787,02831
60,1,방문,,,엘림에스(유),이윤필,02-6082-5457,이윤필,N,엘림에스(유),"126.8840719,37.5235205",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240419,,,KJKX002404190007,B,워크넷,07275 서울특별시 영등포구 영등포로 21 (양평동2가),용인 신정마을 수지현대성우아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),20240506,010200,,126.8840719,37.5235205,07275
60,1,방문,,,(주)두원에이앤씨,박태종,02-865-5025,박태종,N,(주)두원에이앤씨,"126.8871533,37.5178673",접수중,,기타,CM0105,"(준)고령자(50세이상), 장애인 복지카드소지자 우대",20240419,,,KJKZ002404190005,B,워크넷,"07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)",장암푸르지오 1단지 경비원 채용,20240618,010200,,126.8871533,37.5178673,07281
60,1,방문,,,엘림에스(유),이윤필,033-250-3838,이윤필,N,엘림에스(유),"126.8840719,37.5235205",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240419,,,KJLN002404190001,B,워크넷,07275 서울특별시 영등포구 영등포로 21 (양평동2가),춘천 롯데캐슬스카이클래스 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),20240506,010200,,126.8840719,37.5235205,07275
60,10,방문,,,주식회사 삼구에프에스,한승청,033-250-3838,한승청,N,주식회사 삼구에프에스,"126.8937133,37.4865238",접수중,,기타,CM0105,"고용허가제, 북한이탈주민, 장애인 ",20240430,,,KJLN002404300002,B,워크넷,"08376 서울특별시 구로구 디지털로31길 38-21, 905호 (구로동, 이앤씨드림타워3차)",[삼구에프에스] 세린식품 만두 생산직원 구인 - 5/17 춘천시 일구데이 참여업체,20240517,010070,강원 춘천시,126.8937133,37.4865238,08376
60,1,방문,,,대산비티엠 주식회사,김영임,,김영임,N,대산비티엠 주식회사,"127.0442278,37.4775719",접수중,,기타,CM0105,"(준)고령자(50세이상), 장애인 장애인 우대",20240429,,,KJML002404290004,B,워크넷,"06775 서울특별시 서초구 논현로 87 (양재동, 삼호물산빌딩)",건국대학교 해오름학사 미화원 채용공고,20240513,010150,충북 충주시,127.0442278,37.4775719,06775
60,1,방문,,,엘림에스(유),이윤필,02-6082-5457,이윤필,N,엘림에스(유),"126.8840719,37.5235205",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240423,,,KJNP002404230002,B,워크넷,07275 서울특별시 영등포구 영등포로 21 (양평동2가),홍성 내포 효성해링턴플레이스 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),20240507,010200,,126.8840719,37.5235205,07275
60,1,방문,,,엘림에스(유),이윤필,02-6082-5457,이윤필,N,엘림에스(유),"126.8840719,37.5235205",접수중,,기타,CM0105,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",20240502,,,KJNP002405020001,B,워크넷,07275 서울특별시 영등포구 영등포로 21 (양평동2가),홍성 내포 효성해링턴플레이스 내부 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),20240516,010200,충남 홍성군,126.8840719,37.5235205,07275
